indicador,valor
"ajuste lineal var~media (pendiente, intercepto)","1.334, -0.378"
"ajuste cuadrático var~media² (pendiente, intercepto)","0.188, 1.935"
correlación media–varianza mensual,0.4681
λ de Box-Cox estimado por máxima verosimilitud (sobre serie+1),0.4733
λ=0 equivaldría a,logaritmo
"λ=0,5 equivaldría a",raíz cuadrada (transformación de Anscombe para Poisson)
λ=1 equivaldría a,sin transformar
