clave,valor
archivo,data\raw\uru_siniestros_unificado.csv
sha256,48a8a7e8f06ed8aa1d138b9921995d81a2c86cb3858354e22b03c75cfc4a99f2
ejecutado,2026-08-31 12:26
semilla,42
pandas,3.0.5
numpy,2.5.2
scipy,1.18.1
pyarrow,25.0.1
pyproj,3.7.2
holidays,0.103
