indicador,valor
días del período,"1,826"
zonas,403
filas del panel,"735,878"
filas con al menos un siniestro,"36,171"
densidad (filas no nulas),4.9 %
media de siniestros por fila,0.0539
máximo en una fila,11
índice de dispersión (varianza / media),1.145
