indicador,valor
zonificación,municipios
días del período,"1,645"
zonas,8
filas del panel,"13,160"
siniestros,"36,612"
% de filas en cero,8.60 %
media del objetivo,2.7821
varianza del objetivo,3.5039
índice de dispersión (var/media),1.259
máximo del objetivo,13
columnas,11
