papel,zona_id,siniestros,dias_con_siniestro,estrato_actividad,latitud,longitud,pct_dias_en_cero
zona más activa (primer modelo),UNION,1939,1157,alta,-34.877109,-56.14059,36.64
zona de contraste (actividad mediana),TRES CRUCES,689,574,alta,-34.895082,-56.166154,68.57
