prueba,hipótesis nula,estadístico,p-valor,"resultado (α=0,05)"
ADF,H0: hay raíz unitaria (no estacionaria),-17.8908,2.98e-30,rechaza H0 (estacionaria)
KPSS,H0: la serie es estacionaria,2.8405,≤ 0.01,rechaza H0 (no estacionaria)
