indicador,referencia (resumen_diagnostico_datos.md / resumen_preparacion_montevideo.md),recalculado sobre panel_zona_contraste.csv,resultado
siniestros totales,5016.0,5016.0,coincide
% de días en cero,5.84,5.84,coincide
