indicador,valor
municipio,MUNICIPIO C
dias,1645
fecha_min,2021-07-01
fecha_max,2025-12-31
media,3.5155
varianza,4.4297
indice_dispersion,1.26
minimo,0
maximo,13
pct_ceros,4.8
