mes,índice 2021,índice 2022–2025,desvío
7,0.944,0.957,-1.4 %
8,0.985,0.998,-1.3 %
9,0.979,0.991,-1.3 %
10,0.976,0.997,-2.1 %
11,1.142,1.032,+10.7 %
12,0.979,1.026,-4.6 %
