fecha,siniestros,dia_semana
2022-01-16,4,Sunday
2023-06-09,41,Friday
2023-12-22,41,Friday
2024-10-14,41,Monday
2021-10-22,42,Friday
2025-04-11,42,Friday
2024-05-10,43,Friday
2025-12-11,44,Thursday
