rezago,ACF cruda — mediana,ACF cruda — máxima,municipios sobre la banda (cruda),ACF del residuo — mediana,municipios sobre la banda (residuo),"banda nula Poisson (p97,5 media)",municipios esperables por azar
1,0.0558,0.0791,5,0.0475,5,0.0464,0.2
7,0.0569,0.0849,5,0.0079,0,0.045,0.2
