indicador,valor
coordenadas múltiplos de 5 m,100.00%
"puntos (X, Y) distintos","68,152"
siniestros por punto (media),3.3
siniestros en el punto más repetido,186
siniestros en los 100 puntos más repetidos,3.4%
celda usada / resolución de la fuente,500 m / 5 m = 100×
