indicador,valor
barrios de la capa,62
barrios con al menos un siniestro,62
siniestros — mínimo por barrio,225
siniestros — mediana por barrio,570
siniestros — máximo por barrio,1939
razón máximo/mínimo,8.6×
barrios que acumulan el 50 % de los siniestros,19
barrios que acumulan el 90 % de los siniestros,49
