grupo de calendario,días,media diaria,Q1,Q3,IQR,límite inferior,límite superior,atípicos por debajo,atípicos por encima
lunes,212,24.08,20.0,27.0,7.0,9.5,37.5,1,2
martes,225,23.77,20.0,28.0,8.0,8.0,40.0,0,0
miércoles,225,23.8,20.0,28.0,8.0,8.0,40.0,0,0
jueves,224,23.86,19.0,28.0,9.0,5.5,41.5,0,1
viernes,228,26.11,22.0,30.0,8.0,10.0,42.0,0,1
sábado,228,20.49,16.0,24.0,8.0,4.0,36.0,0,1
domingo,226,16.12,13.0,19.0,6.0,4.0,28.0,0,3
feriado,77,15.64,12.0,19.0,7.0,1.5,29.5,0,0
