información disponible,desvianza de Poisson,mejora sobre la constante
constante global (sin información),0.9411,+0.0 %
sólo variables de día (clima + calendario) — techo,0.90784,-3.5 %
sólo tasa histórica del barrio,0.8528,-9.4 %
barrio × día,0.81954,-12.9 %
