rezago,ACF mediana por barrio,ACF máxima por barrio,"banda nula Poisson (p97,5 media)",barrios por encima de la banda,barrios esperables por azar
1,0.0137,0.0724,0.0449,7,1.6
7,0.0101,0.0838,0.0455,8,1.6
