indicador,valor
días del período,"2,922"
días con al menos un siniestro,"2,922"
días con cero siniestros en todo el país,0
mínimo diario nacional,26 (2020-03-22)
máximo diario nacional,129 (2024-12-23)
media diaria nacional,76.9
registros con Hora = 0,2.08%
Hora = 0: mínimo y máximo anual,1.98% – 2.17%
